Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1597942620,-7.0,2020-08-20 09:57:00,8.4,8.4,8.4,8.4,100
1597943580,-7.0,2020-08-20 10:13:00,8.42,8.42,8.42,8.42,30000
1597943940,-7.0,2020-08-20 10:19:00,8.43,8.43,8.43,8.43,300
1597947720,-7.0,2020-08-20 11:22:00,8.42,8.42,8.42,8.42,30000
1597950480,-7.0,2020-08-20 12:08:00,8.46,8.46,8.46,8.46,148
1597950780,-7.0,2020-08-20 12:13:00,8.44,8.44,8.44,8.44,29852
1597952040,-7.0,2020-08-20 12:34:00,8.44,8.44,8.44,8.44,30000
1597952820,-7.0,2020-08-20 12:47:00,8.44,8.44,8.44,8.44,30000
1597953360,-7.0,2020-08-20 12:56:00,8.43,8.43,8.43,8.43,30000
1597953540,-7.0,2020-08-20 12:59:00,8.42,8.42,8.42,8.42,500
1598020800,-7.0,2020-08-21 07:40:00,8.34,8.34,8.34,8.34,340
1598038860,-7.0,2020-08-21 12:41:00,8.34,8.34,8.34,8.34,676
1598039520,-7.0,2020-08-21 12:52:00,8.35,8.35,8.35,8.35,100
1598039580,-7.0,2020-08-21 12:53:00,8.355,8.355,8.355,8.355,500
1598039640,-7.0,2020-08-21 12:54:00,8.355,8.355,8.355,8.355,300
1598276100,-7.0,2020-08-24 06:35:00,8.41,8.41,8.41,8.41,148
1598277240,-7.0,2020-08-24 06:54:00,8.34,8.3401,8.34,8.3401,3249
1598277840,-7.0,2020-08-24 07:04:00,8.36,8.365,8.35,8.35,9260
1598283300,-7.0,2020-08-24 08:35:00,8.39,8.39,8.39,8.39,100
1598283900,-7.0,2020-08-24 08:45:00,8.38,8.38,8.38,8.38,200
1598283960,-7.0,2020-08-24 08:46:00,8.38,8.38,8.38,8.38,1500
1598284680,-7.0,2020-08-24 08:58:00,8.38,8.38,8.38,8.38,4300
1598288220,-7.0,2020-08-24 09:57:00,8.3301,8.3301,8.3301,8.3301,313
1598380260,-7.0,2020-08-25 11:31:00,8.22,8.2224,8.22,8.2224,1823
1598381220,-7.0,2020-08-25 11:47:00,8.225,8.225,8.225,8.225,200
1598381280,-7.0,2020-08-25 11:48:00,8.225,8.225,8.225,8.225,100
1598381760,-7.0,2020-08-25 11:56:00,8.2201,8.2202,8.2201,8.2202,500
1598385000,-7.0,2020-08-25 12:50:00,8.22,8.22,8.22,8.22,100
1598385240,-7.0,2020-08-25 12:54:00,8.21,8.21,8.21,8.21,100
1598385420,-7.0,2020-08-25 12:57:00,8.21,8.21,8.21,8.21,100
1598385480,-7.0,2020-08-25 12:58:00,8.23,8.23,8.23,8.23,400
